geo_place_name,start_date,Asthma emergency department visits due to PM2.5,Boiler Emissions- Total SO2 Emissions,Respiratory hospitalizations due to PM2.5 (age 20+)
jamaica,2015-01-01,69.6,0.4,10.5
southwest queens,2015-01-01,43.0,0.5,9.0
washington heights,2015-01-01,81.6,32.0,10.3
southeast queens,2015-01-01,39.5,0.3,8.2
chelsea - clinton,2015-01-01,53.6,36.4,6.9
gramercy park - murray hill,2015-01-01,16.5,41.5,6.9
canarsie - flatlands,2015-01-01,31.4,0.0,11.9
brooklyn,2015-01-01,34.9,0.7,10.5
hunts point - mott haven,2015-01-01,104.6,1.7,26.5
east flatbush - flatbush,2015-01-01,41.9,1.7,9.7
upper east side,2015-01-01,18.6,39.4,6.7
bedford stuyvesant - crown heights,2015-01-01,124.6,1.0,12.4
east harlem,2015-01-01,215.5,4.8,20.3
port richmond,2015-01-01,45.6,0.0,17.4
downtown - heights - slope,2015-01-01,24.1,1.2,7.8
queens,2015-01-01,47.3,1.4,9.6
east new york,2015-01-01,71.4,0.1,13.2
manhattan,2015-01-01,34.8,26.8,9.6
borough park,2015-01-01,9.3,1.1,8.8
central harlem - morningside heights,2015-01-01,193.1,10.7,14.9
bedford stuyvesant - crown heights,2015-01-01,68.1,1.0,12.4
downtown - heights - slope,2015-01-01,46.4,1.2,7.8
manhattan,2015-01-01,93.5,26.8,9.6
east new york,2015-01-01,118.4,0.1,13.2
williamsburg - bushwick,2015-01-01,107.9,0.3,11.0
williamsburg - bushwick,2015-01-01,67.3,0.3,11.0
sunset park,2015-01-01,34.4,0.5,7.4
fordham - bronx pk,2015-01-01,153.6,16.6,19.4
sunset park,2015-01-01,18.6,0.5,7.4
pelham - throgs neck,2015-01-01,105.2,2.8,15.9
lower manhattan,2015-01-01,35.4,8.3,6.6
brooklyn,2015-01-01,62.5,0.7,10.5
bronx,2015-01-01,146.9,6.3,19.6
east flatbush - flatbush,2015-01-01,84.2,1.7,9.7
fordham - bronx pk,2015-01-01,64.1,16.6,19.4
kingsbridge - riverdale,2015-01-01,25.8,9.1,14.8
washington heights,2015-01-01,32.9,32.0,10.3
union square - lower east side,2015-01-01,31.6,14.1,10.7
high bridge - morrisania,2015-01-01,98.1,12.9,25.8
central harlem - morningside heights,2015-01-01,95.1,10.7,14.9
bronx,2015-01-01,67.0,6.3,19.6
long island city - astoria,2015-01-01,46.1,5.0,9.3
union square - lower east side,2015-01-01,102.2,14.1,10.7
high bridge - morrisania,2015-01-01,188.6,12.9,25.8
borough park,2015-01-01,15.8,1.1,8.8
flushing - clearview,2015-01-01,29.4,3.0,10.2
lower manhattan,2015-01-01,19.2,8.3,6.6
rockaways,2015-01-01,39.0,0.0,16.9
staten island,2015-01-01,33.1,0.1,15.0
upper west side,2015-01-01,23.2,50.9,8.5
staten island,2015-01-01,20.8,0.1,15.0
south beach - tottenville,2015-01-01,9.2,0.0,12.9
east harlem,2015-01-01,111.6,4.8,20.3
upper east side,2015-01-01,6.6,39.4,6.7
flushing - clearview,2015-01-01,7.9,3.0,10.2
coney island - sheepshead bay,2015-01-01,31.4,0.7,14.7
kingsbridge - riverdale,2015-01-01,65.8,9.1,14.8
upper west side,2015-01-01,51.9,50.9,8.5
northeast bronx,2015-01-01,108.6,1.6,15.4
gramercy park - murray hill,2015-01-01,44.5,41.5,6.9
west queens,2015-01-01,60.2,1.1,8.6
jamaica,2015-01-01,29.7,0.4,10.5
ridgewood - forest hills,2015-01-01,32.2,1.3,10.0
bensonhurst - bay ridge,2015-01-01,16.8,1.2,8.9
south beach - tottenville,2015-01-01,13.7,0.0,12.9
port richmond,2015-01-01,66.9,0.0,17.4
greenpoint,2015-01-01,27.4,0.3,6.6
canarsie - flatlands,2015-01-01,61.4,0.0,11.9
crotona -tremont,2015-01-01,87.1,8.8,21.4
southeast queens,2015-01-01,17.9,0.3,8.2
northeast bronx,2015-01-01,48.4,1.6,15.4
hunts point - mott haven,2015-01-01,194.7,1.7,26.5
greenwich village - soho,2015-01-01,14.2,17.8,4.7
greenwich village - soho,2015-01-01,6.5,17.8,4.7
coney island - sheepshead bay,2015-01-01,18.2,0.7,14.7
chelsea - clinton,2015-01-01,20.4,36.4,6.9
ridgewood - forest hills,2015-01-01,12.8,1.3,10.0
new york city,2015-01-01,78.2,3.5,11.8
rockaways,2015-01-01,55.0,0.0,16.9
bayside - little neck,2015-01-01,12.2,0.9,8.2
crotona -tremont,2015-01-01,167.2,8.8,21.4
willowbrook,2015-01-01,18.8,0.0,14.1
fresh meadows,2015-01-01,36.2,3.1,8.5
greenpoint,2015-01-01,19.9,0.3,6.6
stapleton - st. george,2015-01-01,49.5,0.2,17.6
pelham - throgs neck,2015-01-01,44.6,2.8,15.9
queens,2015-01-01,17.9,1.4,9.6
new york city,2015-01-01,34.6,3.5,11.8
long island city - astoria,2015-01-01,21.8,5.0,9.3
fresh meadows,2015-01-01,12.7,3.1,8.5
bensonhurst - bay ridge,2015-01-01,8.5,1.2,8.9
bayside - little neck,2015-01-01,4.9,0.9,8.2
west queens,2015-01-01,14.7,1.1,8.6
stapleton - st. george,2015-01-01,32.0,0.2,17.6
willowbrook,2015-01-01,12.9,0.0,14.1
southwest queens,2015-01-01,18.6,0.5,9.0
